,0
UBIA_price,130.0
LTRPB_price,109.46351549453615
RNBI_price,99.00000000000001
UMAM_price,98.85000000000001
GPXM_price,85.71428571428571
TBLT_price,83.37708651210944
TRNX_price,79.14329932752901
YUANF_price,77.56756756756756
DNJR_price,74.21905982678831
CGMLF_price,64.80810462916742
ENDV_price,62.90569895221059
TURV_price,62.10440435588026
LFERD_price,61.84769975786925
CMT_price,52.928560972039236
NRXCF_price,50.461433523897924
GWMGF_price,50.0
DNRG_price,50.0
FLCX_price,49.2063492063492
TDLAF_price,47.368421052631575
PNPL_price,45.945945945945944
TDNT_price,45.762711864406775
TFECY_price,44.368321410506525
CRSXF_price,43.61620795107034
YNVYF_price,40.72327501401568
NSFDF_price,38.80952380952381
ENSV_price,38.624005027230844
CTIB_price,37.6596778615706
LIBFF_price,37.54761904761905
LOVE_price,37.494177377962906
ZPAS_price,37.4687263365137
ABML_price,37.02964307320025
RSLS_price,36.111111111111114
STCB_price,35.398886827458256
THMO_price,35.24757377698555
VNNYF_price,34.570622465173685
AMC_price,34.5230766614516
RCUS_price,34.47521405999864
SSMLF_price,33.77483443708609
RVP_price,33.46125987715088
ACST_price,33.45489342888966
GBSNQ_price,33.333333333333336
CPSS_price,32.77179904219752
OCGN_price,32.46433681643212
ATIF_price,32.30703417047126
BNTC_price,32.137141278711454
FLSS_price,30.233333333333327
AKRX_price,30.06337148033936
CUEN_price,29.16314394902531
MLSS_price,28.88815326820164
CNBX_price,28.837352081333222
BMMJ_price,28.712121212121204
MRNA_price,28.42920258608891
FTSSF_price,27.681329332942532
SPHRY_price,27.650428193185853
GTIM_price,27.15320574068651
FTEK_price,26.910794427930284
MKSEF_price,26.804377753151254
SUME_price,26.66666666666666
FERL_price,26.4423076923077
PNDHF_price,26.3095238095238
LBY_price,25.8259553879258
TEAR_price,25.824366539396046
AUTO_price,25.62819821653442
YEWB_price,25.600000000000012
EROS_price,25.292209646753548
ATOS_price,25.03998700929646
HYHDF_price,24.96426695844735
ISSC_price,24.80183072776004
CHNR_price,24.54652150025379
GGISF_price,24.440834631835887
AVCNF_price,24.295851843544078
OTEL_price,24.228423314433904
ANLDF_price,24.039585435119797
IINX_price,23.913043478260843
SI_price,23.601606690642893
BRGGF_price,23.413217082674283
KELYB_price,23.329118802442174
SGRY_price,23.139916410453495
BDCO_price,23.056092843326894
REAL_price,23.023336993747236
INTI_price,22.839506172839496
KPIFF_price,22.751879699248118
HUTMF_price,22.74556159718162
MTC_price,22.723523855599332
CEMI_price,22.501069256274636
ICMB_price,22.47371480138883
GNUS_price,22.319596845994642
WMLLF_price,22.195184338869748
JACK_price,22.184422180770216
BGAVF_price,22.138965903010856
HUIZ_price,22.05101223352114
GRSLF_price,22.01316353657491
BWMX_price,21.95378151260504
ALPE_price,21.723356009070294
WOW_price,21.592182160341167
EDNT_price,21.46205708882986
AM_price,21.433886017299393
FRLI_price,21.42857142857145
FLGT_price,21.390295860246525
GENE_price,21.300846275086023
MMLP_price,21.13901156735743
CODX_price,21.13567109494717
IDN_price,21.126017742966027
CDXI_price,21.11111111111111
EAST_price,21.101774042950517
NTRB_price,20.833333333333336
NWGI_price,20.6623515562341
DLX_price,20.389955401618476
PLYA_price,20.03963037523348
PIXY_price,20.01723558649681
HJLI_price,19.90819724803389
FLURF_price,19.462074706065966
CURR_price,19.337798555597672
THMG_price,19.31818181818182
I_price,19.309767772334617
CHCI_price,19.254124938856698
AVLNF_price,19.16006702362565
LYTS_price,19.11629042761016
VERY_price,18.830858960763518
ESCA_price,18.8014992650496
TSG_price,18.766507510785658
RCON_price,18.711846802897213
ABIO_price,18.654684095860556
ARAV_price,18.622769320085297
LIVX_price,18.58870571455732
MN_price,18.534604426912114
IDXG_price,18.391740692406707
ANVS_price,18.34992887624466
OPCH_price,18.31242605661445
NTEC_price,18.279111205782733
BKUCF_price,18.236410849410802
SWIR_price,18.203926132563765
STG_price,18.201447245564893
TRNF_price,18.081818181818186
PRPL_price,18.072905120586697
MYOS_price,18.058301102120517
BDTX_price,17.96447417990645
SNNVF_price,17.961228298177215
CUI_price,17.921328579562946
LE_price,17.90614977917506
CPPXF_price,17.85714285714286
LWAY_price,17.754170033077834
VERI_price,17.561302675212445
NMGX_price,17.54047668681814
SIAF_price,17.44827586206896
GMBL_price,17.428642858573586
ZOM_price,17.376276611746796
PRTS_price,17.269371064183073
IGEN_price,17.261904761904773
GMO_price,17.08105174045118
APDN_price,17.037796195522702
OIBR/C_price,16.95028011204483
UBFO_price,16.831906013211093
GPOR_price,16.737558814509406
BCRX_price,16.69766472819783
SHOP_price,16.61497437217504
ROKU_price,16.502237151833544
AXIM_price,16.377921031426283
CGEN_price,16.371369385095704
PCRCF_price,16.32979343701717
ALNA_price,16.287076271186436
FNMA_price,16.232899718052046
TC_price,16.22071255285724
RELI_price,16.16172132569843
SNANF_price,16.13428428302113
FMCC_price,16.03857106731478
MLRKF_price,15.987737719718863
DNN_price,15.9669414835867
RDUS_price,15.924382338403426
CDBMF_price,15.851393188854486
XP_price,15.798677489247279
CNK_price,15.77274741319815
RKDA_price,15.747069030651122
XDSL_price,15.737867395762139
SWN_price,15.693239509028997
MREO_price,15.654668946620404
NVTQF_price,15.548003398470685
CWBR_price,15.433685446009388
LQDA_price,15.374524889850838
TMDX_price,15.208478337714446
ADIL_price,15.159076405054162
