sym,price_est_vs_actual,price,est_price_unsplit,MCAP,SharesOutstanding
FUNC,0.98,20.805,20.39,144.85581,7.106
EMPR,0.98,0.347,0.34,6.38928,18.792
OFIX,0.98,54.29,53.20,1012.40832,19.031
PLBC,0.98,24.48,23.99,123.6336,5.154
CHL,0.98,41.34,40.51,165892.37947,4095.097
ARTX,0.98,2.19,2.15,57.22655,26.665
SMLR,0.98,50.5,49.49,321.67811,6.5
PHX,0.98,11.49,11.26,186.55568,16.568
GLOW,0.98,1,0.98,4.9901,5.092
NTES,0.98,242.84,238.02,30457.27722,127.961
CSOD,0.98,54.83,53.75,3261.4443,60.681
YELP,0.98,36.77,36.04,2785.1655,77.27
LTXB,0.98,40.86,40.05,1956.08379,48.836
SEDG,0.98,82.35,80.74,3839.03082,47.548
SINO,0.98,0.6902,0.68,10.55424,15.596
FELP,0.98,0.4588,0.45,65.63771,145.894
PRO,0.98,75.13,73.69,2963.97184,40.224
YEXT,0.98,20.89,20.49,2276.61,111.111
LMFA,0.98,1.041,1.02,3.16534,3.1
PWR,0.98,34.31,33.66,4786.55298,142.218
ICCC,0.98,5.9222,5.81,41.8901,7.21
EFLVF,0.98,0.1993,0.20,21.4907,109.912
FCCO,0.98,18.5,18.15,136.32465,7.511
PES,0.98,0.1789,0.18,13.90156,79.202
WVVI,0.98,6.9309,6.80,33.762,4.965
FNNGF,0.98,0.0152,0.01,1.10319,73.974
CS,0.98,11.58,11.36,29040.25452,2556.012
ACAD,0.98,29.87,29.31,4234.48064,144.487
MTEX,0.98,16.8799,16.56,39.63725,2.393
CI,0.98,169.9,166.72,62955.3078,377.609
NRCG,0.98,11.84,11.62,442.09794,38.05
LAWS,0.98,40.63,39.87,358.4217,8.989
NTRP,0.98,6,5.89,76.2398,12.947
FSBW,0.98,48.3,47.41,212.24306,4.477
ROGFF,0.98,0.95,0.93,345.08344,370.029
BLL,0.98,77.46,76.04,25246.3872,332.003
EGRX,0.98,56.9,55.86,778.06231,13.929
RNWK,0.98,1.685,1.65,62.94388,38.05
BDCO,0.98,1.1,1.08,11.85408,10.976
MNI,0.98,2.25,2.21,17.50762,7.925
FORD,0.98,1.0897,1.07,10.20138,9.534
SNAP,0.98,16.98,16.67,22997.21724,1379.275
ATEA,0.98,5.6,5.50,19.8935,3.617
MDLNF,0.98,0.14,0.14,74.80825,544.059
XPL,0.98,0.325,0.32,18.55765,58.138
ARTW,0.98,2.16,2.12,9.1054,4.292
FVCB,0.98,17.38,17.07,235.28,13.783
SKY,0.98,30.14,29.61,1679.31348,56.721
NEXT,0.98,4.65,4.57,504.90312,110.536
ENV,0.98,58.42,57.39,2976.83526,51.871
AKAM,0.98,89.9,88.32,14492.33,164.097
JAG,0.98,6.8,6.68,1425.2114,213.345
DGII,0.98,13.09,12.86,360.83092,28.059
PFBI,0.98,15.19,14.92,218.41097,14.636
