,0
MKTX_price,10.954627949183285
JBHT_price,9.27250431373024
INCY_price,8.900851338411407
REGN_price,7.733122542360819
BA_price,7.611200775845529
SYK_price,7.427243065110929
HLT_price,7.387798188364268
ABT_price,7.266741386150541
GILD_price,7.214163441080441
SJM_price,7.10897278927007
UNH_price,6.873186607549544
CNC_price,6.865134137735523
COG_price,6.652636540982391
PKI_price,6.428999591815758
HFC_price,6.302479474371422
BSX_price,6.032356815479622
ILMN_price,5.87970048106415
ANTM_price,5.745389674103774
HUM_price,5.735688978897303
DGX_price,5.576707037861959
ATVI_price,5.396516841995472
EW_price,5.379087820282605
LMT_price,5.310578765368913
NLOK_price,5.249980484140966
GPN_price,5.112627042734481
TDG_price,5.102414609633307
BAX_price,5.0642682408905495
EL_price,5.061242249489579
YUM_price,5.0088411340689
SNPS_price,4.902390855613559
ULTA_price,4.8778900138091235
ADSK_price,4.825455607872262
WYNN_price,4.729456390581131
EBAY_price,4.642102791059402
ORLY_price,4.640504115597669
BDX_price,4.588748222339846
AKAM_price,4.575115838567012
TFX_price,4.530667402218054
CTXS_price,4.44928105884979
TGT_price,4.414176164732485
SBUX_price,4.396698503602253
CHRW_price,4.387926396385291
CI_price,4.244413727668256
CMG_price,4.225095337554664
APA_price,4.007328153044054
HOLX_price,4.00592673851545
JNJ_price,3.9925516035219992
HRL_price,3.9833116641012154
WMB_price,3.9712382392746846
LLY_price,3.9692768397583027
ZBH_price,3.926169599973899
SBAC_price,3.9140381455276216
FAST_price,3.8760761001216353
AMZN_price,3.8696523021891416
ALXN_price,3.866741327241466
BLK_price,3.8400738542551474
ICE_price,3.7745690628413415
IQV_price,3.7642470029514943
FISV_price,3.6162640052850588
SYY_price,3.585280378484539
LDOS_price,3.5425242163268704
ISRG_price,3.533304491442906
ROL_price,3.4966523463082586
ANSS_price,3.470454142964514
EIX_price,3.4306945938514093
AMGN_price,3.4189529227105773
XLNX_price,3.352350003378233
FTNT_price,3.3407507295415075
NDAQ_price,3.3239581516240757
RHI_price,3.2351818764891664
LHX_price,3.1934112422458707
BLL_price,3.1898368892047175
PWR_price,3.189165548679739
FIS_price,3.164054302229481
NSC_price,3.1415809505880543
MSI_price,3.0790991918132917
DRI_price,3.031036566284566
PG_price,3.0032834281465375
GIS_price,3.000102698068029
CRM_price,2.992990477892043
ESS_price,2.991741195867621
KHC_price,2.953805918034298
XEC_price,2.941660622129385
CDNS_price,2.9262436949553097
NRG_price,2.904101918851978
AMD_price,2.8965907222452363
ABMD_price,2.896009885531647
VRTX_price,2.8800182740591076
DHR_price,2.8283139852995984
CVS_price,2.8029439916688093
MCK_price,2.8000868093999065
AAP_price,2.796668252290371
ADS_price,2.7869885787619477
GS_price,2.7810017016786013
DLR_price,2.776280887801172
NVDA_price,2.775945512899045
MSFT_price,2.7384021936418037
BR_price,2.7105676437033583
EA_price,2.703578426162419
J_price,2.6716032619405246
VRSN_price,2.643150497651998
ROK_price,2.636286597506368
AME_price,2.631618032780512
NKE_price,2.612594082342924
BK_price,2.5851801358835798
CVX_price,2.54137954855989
HCA_price,2.5267983019889653
BIIB_price,2.508882256447492
COP_price,2.5078922047005676
MKC_price,2.351288225206242
WMT_price,2.344904976146394
PKG_price,2.338495938249574
LH_price,2.335060395953909
ATO_price,2.2458762561148005
VRSK_price,2.216432288334051
TXN_price,2.2130524497506583
LRCX_price,2.2056537882996787
DG_price,2.203940180906448
DLTR_price,2.1987651268858577
ODFL_price,2.1790648471811545
SHW_price,2.1748105790345855
EXPE_price,2.161651111013337
ALL_price,2.1510534830314225
K_price,2.1444094338825677
NFLX_price,2.143254059024809
ZTS_price,2.118718260366393
CHTR_price,2.0225395927627745
IFF_price,2.022422888496199
PEG_price,1.9963830643686074
APH_price,1.9826215628192925
CHD_price,1.9239135508984107
WAT_price,1.9054524455862585
PAYX_price,1.859585661084847
COO_price,1.8576439286108912
